Owner,Recipe,Description,Ingredients,Steps,Category,Flavor Profile,Nutrition Labels,Prep (min),Cook (min),Servings,Difficulty,Estimated Cost,Tags,Meal Type,Mood,Ratings
,Ginataang Langka,Isang masarap na putahe ng hilaw na langka na niluto sa gata ng niyog at daing. Isang simpleng ulam na may creamy at malinamnam na lasa.,"1 lb hilaw na langka binalatan at hiniwa-hiwa, 1 malaking sibuyas hiniwa-hiwa ng pakuwadrado, 5 cloves crushed garlic, 3/4 tasang kamatis hiniwa-hiwa nang pakuwadrado, 3 to 5 pcs sili, 3 tasang gata ng niyog, 3/4 tasang tubig, 1/2 tasang daing hinimay at tinanggal ang tinik, 1 pc shrimp cube","Step 1: Iinit ang kawali o kaserola at ibuhos ang gata ng niyog. Bayaang kumulo.

Step 2: Idagdag ang bawang at sibuyas saka lutuin ng 3 to 5 minuto habang patuloy na hinahalo ang mixture.

Step 3: Ilagay ang kamatis at sili. Patuloy na haluin para hindi mamuo.

Step 4: Idagdag ang daing at iluto ng 5 minuto.

Step 5: Ibuhos ang tubig at bayaang kumulo muli.

Step 6: Idagdag ang hiniwa-hiwang langka saka ihalo sa iba pang mga sangkap. Pakuluan sa mahinang apoy ng 5 hanggang 8 minuto.

Step 7: Maglagay ng shrimp cube saka haluin nang maigi. Pakuluan sa mahinang apoy hanggang matuyo nang kaunti.

Step 8: Isalin sa mangkok at ihain habang mainit.",Ulam (Main Dish) / Gulay (Vegetable Dish),"Creamy, Maalat, Malinamnam",Calories: ~280 kcal | Fiber: ~7g | Fat: ~12g | Carbohydrates: ~35g,15,30,4,Easy,Low Cost,"Ginataang Langka, Gata, Gulay, Langka, Filipino","Tanghalian, Hapunan","Comforted, Nostalgic, Simple joy, Humble",
,Ginataang Halo-Halo,Isang masarap na Filipino na dessert na may iba't ibang uri ng gulay at prutas na niluto sa gata ng niyog. Maaaring ihain nang mainit o malamig.,"1-1/2 tasang kamote hiniwa-hiwa nang pakuwadrado, 1 tasang gabi hiniwa-hiwa nang pakuwadrado, 1-1/2 tasang ube, 1-1/4 tasang saging na saba hiniwa-hiwa nang pakuwadrado, 1 tasang hinog na langka hiniwa-hiwa, 2 tasang sago niluto, 12 to 20 pcs bilo-bilo (galapong na hinugis bilog), 1 tasang puting asukal, 3-1/2 tasang gata ng niyog, 2 tasang tubig","Step 1: Ibuhos ang tubig sa isang malaking kaserola at pabayaang kumulo.

Step 2: Idagdag ang 1-3/4 tasang gata ng niyog at hintaying kumulo.

Step 3: Ilagay ang kamote, ube, gabi at pakuluan ng 8 minuto sa katamtamang init ng apoy.

Step 4: Ibuhos ang natitirang gata ng niyog, asukal, bilo-bilo saka haluin. Pakuluan sa katamtamang init ng apoy ng 7 minuto.

Step 5: Idagdag ang saging na saba at muling lutuin ng 2 minuto.

Step 6: Ilagay ang langka at muling iluto ng 2 minuto.

Step 7: Idagdag ang nalutong sago saka haluin. Pakuluan sa mahinang apoy ng 1 minuto.

Step 8: Patayin ang apoy at isalin sa mangkok. Ihain nang mainit o malamig.",Dessert (Meryenda),"Matamis, Creamy, Malinamnam",Calories: ~500 kcal | Carbohydrates: ~60g | Fat: ~20g | Sugar: ~35g | Vitamins: Moderate,20,25,6,Easy,Low Cost,"Ginataang Halo-Halo, Dessert, Gata, Filipino, Matamis","Meryenda, Dessert","Rainy afternoon, Cozy, Sweet tooth satisfied, Nostalgic",
,Goto,"Isang paboritong pagkain ng Pinoy dahil bukod sa mura, nakapagpapainit pa ng tiyan. Masarap na lugaw na may tuwalya ng baka at iba't ibang pampalasa. Maaaring ihain bilang almusal, merienda, pananghalian at hapunan.","1 1/2 lbs tuwalya ng baka hiniwa ayon sa kayang lunukin ng tao, 1 tasang hilaw na kanin, 17 ounces ng tubig (mga 500 ml), 500ml ng beef stock o 1 piraso ng beef cube (bouillon) na nilusaw sa 500 ml na tubig, 2 kutsarang patis, 1 kutsaritang bawang tinadtad, 1/2 kutsaritang dinurog na paminta, 1/2 tasang sibuyas tinadtad, 4 pcs binalatang nilagang itlog, 1/2 tasang onion leeks hiniwa nang pino, 2 maliliit na pirasong luya hiniwa-hiwa nang pahaba, 1 kutsarang kasubha (safflower), 1 pc lemon o 4 pcs calamansi, 3/4 tasang chicharon dinurog, 2 kutsarang mantika","Step 1: Sa kaserola, painitin ang mantika saka igisa ang bawang, sibuyas at luya. Wisikan ng kaunting paminta. Idagdag ang tuwalya ng baka at lutuin ng 2 minuto.

Step 2: Ibuhos ang patis at tubig saka pakuluan sa katamtamang init ng apoy hanggang lumambot ang tuwalya ng baka (maaari kayong gumamit ng pressure cooker para mas mabilis).

Step 3: Idagdag ang hilaw na kanin at haluin. Ibuhos ang beef broth at bayaang kumulo.

Step 4: Ihalo paminsan-minsan hanggang sa lumagkit ang kanin (mga 40 minuto). Dagdagan ng tubig kung kinakailangan. Ilagay ang binalatang nilagang itlog saka haluin.

Step 5: Idagdag ang safflower para magkaroon ng karagdagang kulay at amoy.

Step 6: Ihain nang mainit kasama ang hiniwa nang pinong onion leeks, dinurog na chicharon at lemon/kalamansi.",Lugaw (Soup),"Maalat, Malinamnam, Mataba",Calories: ~320 kcal | Protein: ~18g | Carbohydrates: ~30g | Fat: ~10g | Collagen: Moderate,15,60,4,Moderate,Low Cost,"Goto, Lugaw, Baka, Sabaw, Filipino","Almusal, Meryenda, Tanghalian, Hapunan","Late night hunger, Exhausted after work, Rainy day, Comforted, Broke but happy",
,Ginataang Munggo,"Isang masarap na Filipino na kakanin na gawa sa tinustang buto ng munggo, malagkit na bigas, at gata ng niyog. Isang matamis at creamy na merienda o dessert.","1/2 tasang buto ng munggo, 2 1/2 tasang gata ng niyog, 1/2 tasang malagkit, 6 to 7 kutsarang asukal","Step 1: Iinit ang kawali at ilagay ang buto ng munggo.

Step 2: Tustahin ang munggo hanggang maging brown.

Step 3: Patayin ang apoy at bayaang lumamig ang buto ng munggo.

Step 4: Durugin ang tinustang buto ng munggo gamit ang mortar and pestle (almires). Itabi.

Step 5: Iinit ang kaserola at ibuhos ang gata ng niyog. Pabayaang kumulo.

Step 6: Idagdag ang malagkit at munggo saka haluin. Iluto sa mahinang apoy 15 hanggang 18 minuto habang hinahalo o hanggang maghalo ang gata ng niyog.

Step 7: Idagdag ang asukal saka haluin.

Step 8: Patayin ang apoy at isalin sa mangkok. Lagyan ng konting gata ng niyog bago kainin para mas masarap.",Kakanin (Dessert),"Matamis, Creamy, Malinamnam",Calories: ~260 kcal | Carbohydrates: ~45g | Fat: ~12g | Protein: ~10g | Fiber: ~6g,10,25,4,Easy,Low Cost,"Ginataang Munggo, Kakanin, Gata, Dessert, Filipino","Meryenda, Dessert","Sweet tooth, Nostalgic, Warm afternoon snack, Cozy",
,Champorado,Ang Champorado ay isang klasikong pagkaing Pilipino na mainam na alternatibo para sa almusal at meryenda. Ito ay isang masustansiya at masarap na lugaw na gawa sa malagkit na kanin at tsokolate (cocoa powder o tablea) na nakakapagtanggal ng umay mula sa mga karaniwang piniritong pagkain. Ang paggamit ng tsokolate tablea ay nagbibigay dito ng mas madilim na kulay at mas malalim na lasa kumpara sa cocoa powder. Karaniwan itong inihahain nang mainit at nilalagyan ng gatas sa ibabaw para sa balanseng tamis at linamnam.,"8 kutsarang cocoa powder (o 4 pcs. tsokolate tablea), 1 tasang malagkit, 1/2 tasang asukal, 3 1/2 tasang tubig, gatas evaporada o condensed milk (optional), chili powder o cinnamon o vanilla essence (optional twist)","Step 1: Ibuhos ang 2 1/2 tasang tubig sa isang kaserola at hayaan itong kumulo sa katamtamang apoy.

Step 2: Kapag kumulo na ang tubig, ilagay ang malagkit na bigas at hayaang kumulo muli nang ilang minuto hanggang sa magsimulang lumambot ang butil.

Step 3: Lusawin ang cocoa powder (o durugin at lusawin ang tsokolate tablea) sa natitirang 1 tasang mainit-init na tubig, pagkatapos ay ibuhos ito sa kaserola at ihalo nang tuloy-tuloy upang hindi mamuo.

Step 4: Kapag luto na ang malagkit (mga 12 hanggang 18 minuto habang patuloy na hinahalo), idagdag ang asukal, haluin nang maigi, at lutuin pa ng 5 minuto hanggang sa lumapot ang texture ng champorado.

Step 5: Sandukin ang nilutong champorado mula sa kaserola at ilagay sa isang serving bowl.

Step 6: Ihanda at ihain nang mainit kasama ang gatas evaporada o condensed milk na pinaikot sa ibabaw bilang pampatamis.",Meryenda / Almusal (Rice Porridge),"Matamis, Chocolatey, Creamy",Calories: ~280 kcal | Protein: ~5g | Fat: ~3g | Carbohydrates: ~58g | Sodium: ~15mg,5,30,4,Easy,Low Cost,"Champorado, Tsokolate, Malagkit, Filipino, Almusal, Meryenda","Almusal, Meryenda","Rainy morning, Cozy, Nostalgic, Childlike joy, Lazy day",
,Corn Dogs,"Ang Corn Dogs ay isang paboritong meryenda na gawa sa beef frankfurters o hotdogs na binalot sa isang makapal at malinamnam na batter na gawa sa cornmeal at harina. Ito ay ipiniprito hanggang maging golden brown at crunchy ang labas habang nananatiling malambot at juicy ang loob. Dahil ito ay nakatusok sa barbecue sticks, ito ay isang masaya at Easyng kaining pagkain na swak na swak para sa mga bata, sa mga party, o bilang mabilis na meryenda.","1 tasang dilaw na cornmeal, 1 tasang all-purpose flour, 1/4 kutsaritang asin, 1/8 kutsaritang itim na paminta, 1/4 tasang puting asukal, 4 kutsaritang baking powder, 1 itlog, 1 tasang gatas evaporada, 1 quart mantika pangprito, 2 (16 ounce) packages beef frankfurters, 16 barbecue sticks","Step 1: Sa isang malaking mangkok, pagsama-samahin ang mga tuyong sangkap: cornmeal, harina, asin, paminta, asukal, at baking powder, pagkatapos ay ihalo nang maigi ang itlog at gatas hanggang maging smooth ang batter.

Step 2: Mag-init ng mantika sa isang malalim na kaserola sa katamtamang init ng apoy upang masiguro na lubog ang corn dogs kapag pinirito.

Step 3: Tusukin ang bawat beef frankfurter ng barbecue sticks at irolyo o isawsaw ang mga ito sa inihandang batter hanggang sa mabuti itong mabalot (well coated).

Step 4: Magprito ng 2 hanggang 3 pirasong corn dogs nang sabay-sabay sa mainit na mantika sa loob ng mga 3 minuto o hanggang maging light brown ang kulay nito.

Step 5: Kapag luto na, hanguin ang mga corn dogs at patiktikin sa paper towels upang maalis ang sobrang mantika bago ihain.",Meryenda (Snack / Finger Food),"Matamis, Maalat, Savory",Calories: ~280 kcal | Protein: ~9g | Fat: ~16g | Carbohydrates: ~24g | Sodium: ~480mg,15,20,16,Moderate,Medium Cost,"Corn Dogs, Hotdog, Snack, Meryenda, Deep Fried, Street Food",Meryenda,"Playful, Fun, Party mood, Kids' excitement, Carefree",
,Coleslaw,"Ang Coleslaw ay isang sariwa at malutong na side dish na karaniwang gawa sa hiniwang repolyo at carrots. Isa itong versatile na salad dahil maaari itong ihanda bilang ""creamy version"" gamit ang mayonnaise o ""tangy version"" gamit ang suka. Dahil sa taglay nitong asim at tamis, perpekto itong pansahog sa mga sandwich o kapareha ng mga pritong pagkain gaya ng fried chicken at barbecue para pambalanse sa umay.","repolyo, carrot, berdeng sibuyas, 3 kutsarang mayonnaise (opsyonal), 1/2 kutsarita ng yellow mustard (opsyonal), paminta, ilang kutsara ng puting suka (opsyonal), asukal (opsyonal), asin (opsyonal)","Step 1: Hiwain nang maninipis ang repolyo hanggang sa makabuo ng apat na tasa at ilagay sa isang malaking mangkok.

Step 2: Hiwain nang maninipis ang kalahati ng isang carrot at gayundin ang berdeng sibuyas, saka ihalo sa hiniwang repolyo.

Step 3: Kung nais ng creamy na bersyon, magdagdag ng 3 kutsarang mayonnaise at 1/2 kutsarita ng yellow mustard sa mga gulay.

Step 4: Timplahan ng paminta para sa dagdag na aroma at haluin nang mabuti hanggang sa magsama-sama nang maigi ang lahat ng sangkap.

Step 5: Kung mas gusto ang walang mayonnaise, gumamit ng ilang kutsara ng puting suka at wisikan ng asukal, asin, at paminta bilang pampalasa.

Step 6: Haluing muli nang maigi ang salad at iserve nang malamig (maaaring palamigin muna sa ref) para sa mas malutong na texture.",Side Dish / Salad,"Creamy, Tangy, Fresh, Crisp",Calories: ~150 kcal | Protein: ~1g | Fat: ~10g | Carbohydrates: ~8g | Sodium: ~180mg,15,0,4,Easy,Low Cost,"Coleslaw, Salad, Side Dish, Gulay, Repolyo, Fresh, Healthy","Side Dish, Pang-meryenda","Light and fresh, Health-conscious, Refreshed, Simple pleasure",
,Chicken Macaroni Salad,"Ang Chicken Macaroni Salad ay isang paboritong pagkaing Pilipino na madalas ihanda tuwing Pasko, Bagong Taon, o sa mga espesyal na okasyon gaya ng kaarawan. Ito ay kilala sa creamy nitong texture dahil sa mayonnaise, na sinamahan ng balanse ng tamis mula sa pinya at pasas, at alat mula sa manok at cheddar cheese. Dahil ito ay inihahain nang malamig, ito ay isang refreshing na side dish o meryenda na patok sa panlasa ng mga bata at matanda.","1/4 kilo macaroni elbow noodles, 2 to 3 pcs. medium sized carrots, 1 malaking chicken breast, 500 ml ng mayonnaise, 1 latang (836 g) pineapple chunks or tidbits, 1 malaking puting sibuyas (hiniwa nang pinong-pino), 1/2 tasang sweet pickle relish, 3 nilagang itlog (hiniwa nang maliliit na kuwadrado), 1 tasang cheddar cheese (hiniwa nang pakuwadrado), 1/2 tasang raisins, asin at paminta pampalasa","Step 1: Iluto ang macaroni elbow noodles sa kumukulong tubig ayon sa package cooking instructions hanggang sa maging malambot ngunit firm (al dente), pagkatapos ay salain at itabi.

Step 2: Sa isang kaserola, pakuluan ang mga carrots sa tubig sa loob ng 15 hanggang 20 minuto o hanggang sa lumuto ito. (Tandaan: Maaaring hindi na lutuin ang carrots kung gusto mong mas malutong at masustansiya ang salad).

Step 3: Salain ang nilagang carrots at hayaang lumamig, pagkatapos ay balatan at hiwain ang mga ito nang maliliit na kuwadrado.

Step 4: Pakuluan ang chicken breast sa tubig na may kaunting asin hanggang sa maluto nang husto, pagkatapos ay salain ito at himayin nang pahaba sa sukat na 1 inch.

Step 5: Salain ang pineapple chunks o tidbits mula sa syrup nito upang hindi maging sobrang basa ang salad.

Step 6: Sa isang malaking mangkok, pagsama-samahin ang nilutong macaroni, manok, carrots, pinya, sibuyas, pickle relish, itlog, keso, pasas, at mayonnaise.

Step 7: Timplahan ng asin at paminta ayon sa iyong panlasa at haluing mabuti hanggang sa maging pantay ang halo ng lahat ng sangkap.

Step 8: Ilagay sa loob ng refrigerator ang salad upang palamigin bago ihain para sa pinakamasarap na resulta.",Salad (Side Dish / Appetizer),"Creamy, Matamis, Malinamnam",Calories: ~420 kcal | Protein: ~15g | Fat: ~28g | Carbohydrates: ~32g | Sodium: ~520mg,30,25,8,Easy,High Cost,"Chicken, Macaroni, Salad, Filipino, Holiday Food, Party, Creamy","Meryenda, Side Dish, Pang-handaan","Celebratory, Christmas mood, Nostalgic, Family gathering joy",
,Buko Pandan,"Ang Buko Pandan ay isang sikat at paboritong panghimagas na Pilipino na karaniwang inihahanda sa mga pagtitipon gaya ng piyesta, Pasko, at mga party. Binubuo ito ng pinaghalong ginagadgad na buko, green gelatin na may aroma ng pandan, sago, at creamy na sarsa mula sa gatas at cream. Ito ay kilala dahil sa nakaka-refresh nitong lasa at ang bango ng pandan na sadyang nakakatakam. Inihahain itong malamig o frozen upang mas malasap ang sarap at tamis nito.","1 1/2 tasang buko na hiniwa nang pahaba (o kinayod), 5 ounces condensed milk, 8 ounces all-purpose cream, 3 ounces powdered gelatin, 1 1/4 tasang tubig, 6 patak ng Buko Pandan flavoring, 2 scoops ng vanilla ice cream (optional), 1/2 tasang maliliit na sago na niluto (optional)","Step 1: Sa isang lalagyan, ipagsama-sama ang tubig at powdered gelatin at haluin gamit ang kutsara hanggang sa matunaw ang gelatin.

Step 2: Idagdag ang Buko Pandan flavoring sa mixture at haluin nang maigi para maging pantay ang kulay at bango nito.

Step 3: Mag-init ng saucepan, ibuhos ang inihandang mixture, at hayaan itong kumulo habang patuloy na hinahalo para hindi mamuo nang maaga.

Step 4: Patayin ang apoy at isalin ang mixture sa isang molde; bayaang lumamig at mamuo gaya ng gelatin (maaaring ilagay sa refrigerator para mas mapabilis ang pagtigas).

Step 5: Sa isang hiwalay na mangkok, ipagsama ang condensed milk, all-purpose cream, nilutong sago, at kinayod na buko, saka ihalo nang maigi at ilagay sa loob ng freezer nang ilang oras hanggang sa lumapot ang mixture.

Step 6: Tandaan na dapat mas marami ang dami ng cream kaysa sa condensed milk upang makuha ang tamang balanse ng tamis at linamnam.

Step 7: Hiwain ang namuong gelatin sa maliliit na kuwadrado (1 inch cubes) at isama ito sa inihandang gatas, cream, buko, at sago mixture.

Step 8: Isalin ang Buko Pandan sa mga tasa o martini glass at lagyan ng isang scoop ng vanilla ice cream sa ibabaw bilang toppings bago ihain nang malamig.",Panghimagas (Dessert),"Creamy, Matamis, Mabango (Pandan)",Calories: ~350 kcal | Protein: ~4g | Fat: ~22g | Carbohydrates: ~38g | Sodium: ~85mg,20,15,4,Easy,Medium Cost,"Buko Pandan, Dessert, Filipino, Panghimagas, Creamy, Coconut, Gelatin","Panghimagas, Meryenda","Celebratory, Refreshed, Party mood, Summer happiness",
,Vanilla Cupcakes,"Ang Vanilla Cupcakes ay isang klasikong inihurnong kakanin na malambot, matamis, at mabango na paboritong-paborito ng lahat mula bata hanggang matanda. Ginagawa ito sa pinagsamang all-purpose flour at cake flour para makamit ang pinakamagaan at pinaka-fluffy na texture. Ang unsalted butter at asukal ay binabati hanggang light and fluffy bago idagdag ang mga itlog at vanilla extract na nagbibigay ng mayamang lasa at mabangong aroma. Ang paghihiwalay ng puti at pula ng itlog at ang magkahiwalay na paghahalo nito ay lihim sa napakagaang at malambot na cupcake. Perpekto itong ihain bilang meryenda, dessert, o regalo sa espesyal na okasyon.","1 tasang all-purpose flour, 2 tasang cake flour, 1 kutsarang baking powder, 1/2 kutsaritang asin, 1 tasang unsalted butter, 1 3/4 tasang asukal, 4 itlog ihiniwalay ang puti sa pula, 2 kutsaritang vanilla extract, 1 tasang gatas","Step 1: I-preheat ang oven ng 375 degrees Fahrenheit at lagyan ng paper cups ang muffin pan bago simulan ang paghahanda ng batter.

Step 2: Pagsama-samahin ang harina, baking powder, at asin sa isang mangkok at haluin nang maayos. Itabi para sa bandang huli.

Step 3: Sa isang electric mixer, batihin ang butter at asukal hanggang maging light and fluffy ang texture, mga 3-5 minuto sa mataas na bilis.

Step 4: Isa-isang idagdag ang pula ng itlog sa butter mixture habang patuloy na hinahalo. Pagkatapos ay ibuhos ang vanilla extract at haluin.

Step 5: At low speed, unti-unting idagdag ang mga tuyong sangkap at gatas nang halinhinan. Magsimula at magtapos sa tuyong sangkap para sa pinakamainam na resulta.

Step 6: Sa isang hiwalay na mangkok, batihin ang puti ng itlog hanggang tumigas ngunit hindi pa tuyo. Dahan-dahang idagdag sa batter at ihalo nang maingat para hindi mawala ang hangin sa batter.

Step 7: Ilagay sa muffin pan at i-bake ng 20 hanggang 25 minuto o hanggang tumambok ang sentro ng bawat cupcake at maluto nang husto.",Inihurnong Kakanin / Baked Goods,"Matamis, Mabango, Creamy, Malambot",Calories: ~280 kcal | Protein: ~4g | Fat: ~12g | Carbs: ~38g | Sugar: ~22g,20,25,12,Moderate,Medium Cost,"Cupcake, Vanilla, Baked, Dessert, Meryenda, Espesyal, Pang-okasyon","Meryenda, Dessert","Happy, Celebratory, Gifting mood, Sweet and loving",
,Avocado Salad with Tomatoes,"Ang Avocado Salad with Tomatoes ay isang simpleng, masustansya, at masarap na salad na ginawa sa sariwang avocado at hinog na kamatis. Ang creamy na avocado ay nagkukumpleto sa juicy at bahagyang maasim na kamatis para sa isang perpektong kombinasyon ng lasa at texture. Ang rock salt at lemon o kalamansi juice ay nagbibigay ng simpleng dressing na nagpapahusay ng natural na lasa ng mga prutas. Ang tinadtad na chives o berdeng sibuyas ay nagdadagdag ng sariwang aroma at bahagyang anghang. Ito ay isang mabilis na ihanda at napaka-healthy na salad na puno ng mabuting taba, bitamina, at mineral.","Kalahating avocado binalatan at hiniwa-hiwa, kalahating hinog na malaking kamatis hiniwa-hiwa, tinadtad na sariwang chives o hiniwa-hiwang berdeng sibuyas, katas mula sa isang hiwa ng lemon o isang buong kalamansi, rock salt","Step 1: Iayos ang mga hiniwang avocado at kamatis nang maayos at maganda sa isang plato.

Step 2: Wisikan ng tinadtad na chives o berdeng sibuyas sa ibabaw ng avocado at kamatis.

Step 3: Pigain ang lemon o kalamansi at ibuhos ang katas sa ibabaw ng salad.

Step 4: Budburan ng rock salt ayon sa panlasa at ihain agad para hindi maitim ang avocado.",Salad / Side Dish,"Creamy, Maasim, Sariwa, Magaan",Calories: ~180 kcal | Protein: ~2g | Fat: ~14g | Carbs: ~12g | Sodium: ~180mg,5,0,1,Easy,Low Cost,"Avocado, Salad, Healthy, Sariwa, Mabilis, Vegetarian, Masustansya","Almusal, Tanghalian, Meryenda","Health-conscious, Light and energized, Clean eating mood",
,Banana Chips,Ang Banana Chips ay isa sa mga pinakasikat na meryenda at pasalubong sa Pilipinas na ginagawa mula sa hilaw na saging na saba. In-demand ang banana chips sa iba't ibang bansa dahil mas masarap at mas masustansya ito kaysa sa karaniwang junk food. Ang lihim sa perpektong malutong na banana chips ay ang pagtitiyak na matuyo ang mga saging bago iprito at ang paggamit ng napakainit na mantika. Maaaring gawing matamis o maalat ang banana chips ayon sa gusto. Ito ay isang magandang negosyo o maaari ring gawin para sa pansariling pagkain ng pamilya.,"5 hanggang 6 hilaw na saging na saba, mantika para sa pagpiprito, asin, asukal (optional)","Step 1: Balatan ang mga saging at ilagay sila sa inasinang tubig na may yelo para maiwasan ang pagdidilim ng saging.
Step 2: Hiwain ang mga saging nang manipis at takpan ng isang tela ng 10 minuto para matanggal ang labis na moisture at makamit ang mas malutong na resulta.
Step 3: Initin ang mantika sa kawali o fryer hanggang magkaroon ito ng usok na nagpapahiwatig na sapat na ang init para sa pagpiprito.
Step 4: Iprito ang mga hiniwang saging sa maiinit na mantika hanggang maging ginintuang kayumanggi at malutong ang mga ito.
Step 5: Tanggalin ang saging sa kawali at patitikin sa paper towels para mabawasan ang labis na mantika.
Step 6: Kung gusto ng matamis na banana chips, wisikan lamang ng asukal ang mga saging habang piniprito at mainit pa ang mga ito para dumitkit ang asukal.
Step 7: Bayaang lumamig nang buo ang mga banana chips bago ilagay sa mga lalagyan o container para mapanatili ang kalutungan.
Step 8: Para sa matagal na pagiging malutong, iprito muli sa susunod na araw bago ibenta o kainin.","
Meryenda / Snack","Matamis o Maalat, Malutong, Mabango",Calories: ~150 kcal | Protein: ~1g | Fat: ~6g | Carbs: ~24g | Sugar: ~12g,15,20,6,Easy,Low Cost,"Saging, Banana Chips, Meryenda, Filipino, Malutong, Negosyo, Pasalubong",Meryenda,"Snacky, Nostalgic, Bored, Traveling mood, Pasalubong happiness",
,Baked Potatoes,"Ang Baked Potatoes ay isang simpleng ngunit napaka-versatile na putaheng Kanluranin na Easyng gawin kahit sa microwave oven. Ang patatas ay pinakuluan muna hanggang bahagyang malambot bago lutuin sa oven o microwave para makamit ang perpektong malutong na labas at malambot na loob. Ang kagandahan ng Baked Potatoes ay maaari itong i-customize ayon sa gusto ng bawat tao sa pamamagitan ng iba't ibang toppings tulad ng butter, sour cream, bacon bits, cheese, o guacamole. Ito ay isang magandang alternatibo sa kanin at masarap na kasamahan ng iba't ibang uri ng ulam.","Rock salt, mantika o butter, malalaking patatas, toppings ayon sa gusto tulad ng salsa, butter, sour cream, piniritong bacon bits o ham bits, ranch dressing, blue cheese dressing, guacamole, cheese at chives","Step 1: Linisin ang balat ng patatas nang maigi gamit ang maligamgam na tubig para matanggal ang dumi at pesticide.

Step 2: Pakuluan ang patatas hanggang medyo lumambot ito ngunit hindi pa ganap na maluto, para mapanatili ang hugis nito.

Step 3: Kapag malambot na, patuyuin ang patatas gamit ang paper towel para maalis ang labis na tubig sa ibabaw.

Step 4: Hiwain ang gitnang bahagi ng patatas nang pahaba at pahiran ng kaunting mantika o butter para mag-infuse ang lasa sa loob.

Step 5: Lagyan ng gustong toppings ayon sa kagustuhan. Maaaring isa lamang o kombinasyon ng iba't ibang toppings.

Step 6: I-microwave ang patatas hanggang malusaw nang kaunti ang toppings at maluto nang buo ang loob ng patatas. Ihain nang mainit.",Side Dish / Meryenda,"Maalat, Creamy, Malasa, Mapagpilian ang Lasa",Calories: ~220 kcal | Protein: ~5g | Fat: ~8g | Carbs: ~34g | Sodium: ~280mg,10,20,2,Easy,Low Cost,"Patatas, Baked, Western, Side Dish, Meryenda, Easyng Gawin, Versatile","Almusal, Tanghalian, Meryenda","Lazy day, Simple satisfaction, Cozy, Versatile mood",
,Bangus Shawarma,"Ang Bangus Shawarma ay isang makulay at masarap na Filipino fusion na putahe na pinagsama ang popular na Middle Eastern shawarma at ang paboritong isdang Pilipino na bangus. Ang boneless bangus ay ibinababad sa toyo at suka bago iprito hanggang ginintuang kayumanggi. Inilalagay ito sa loob ng pita bread kasama ang sariwang gulay tulad ng pipino, kamatis, at pulang sibuyas. Ang espesyal na garlic yogurt sauce ang nagbibigay ng creamy at mabangong dressing na nagpapabuti ng kabuuang lasa ng wrap. Ito ay isang masustansya, masarap, at makulay na pagkain na perpekto bilang meryenda o mabilis na tanghalian.","(Garlic Yogurt Sauce) 1 tasang plain yogurt, 1/2 tasang mayonnaise, 2 kutsaritang tinadtad na bawang, 1/2 kutsaritang cumin powder, 1/2 kutsaritang lemon juice, 1/2 kutsaritang cayenne pepper, asin at paminta pampalasa |
(Shawarma) 1/4 tasang mantika, 1 pc. boneless bangus binabad sa toyo at suka, 4 pita pockets, 1 tasang hiniwa-hiwang pipino, 1 tasang hiniwa-hiwang kamatis, 1/2 tasang hiniwa-hiwang pulang sibuyas, 1 kutsarang tinadtad na sariwang coriander","Step 1: Ipagsama-sama ang lahat ng sangkap para sa garlic yogurt sauce sa isang mangkok at haluin nang maayos. Isalin sa squeeze bottle at palamigin sa ref ng mga 30 minuto para mahalo ang lahat ng flavors.

Step 2: Initin ang mantika sa isang malaking kawali at iprito ang boneless bangus hanggang maging golden brown sa magkabilang gilid.

Step 3: Tanggalin ang karne ng bangus mula sa balat at himayin ito nang maayos. Itabi.

Step 4: Initin ang pita at hiwain ang pita para buksan ito. Ilagay ang pipino, kamatis, pulang sibuyas, at coriander sa loob ng pita nang maayos.

Step 5: Ikalat ang himay na bangus sa ibabaw ng mga gulay at pigaan ng garlic yogurt sauce ayon sa gustong dami. Ibalot at ihain agad.",Meryenda / Street Food / Fusion,"Maalat, Creamy, Maasim, Mabango","
Calories: ~320 kcal | Protein: ~22g | Fat: ~14g | Carbs: ~28g | Sodium: ~480mg",40,15,4,Moderate,Medium Cost,"Bangus, Shawarma, Fusion, Filipino, Isda, Meryenda, Street Food","Tanghalian, Meryenda","Adventurous, Trendy, Excited, Fusion food curiosity",
